pr_number,release_tag,publish_date,start_date
16,v0.0.13,2013-03-28T23:05:17+09:00,2013-03-28T14:33:33+09:00
17,v0.0.14,2013-03-29T09:52:02+09:00,2013-03-28T23:05:17+09:00
18,v0.0.15,2013-03-29T15:13:15+09:00,2013-03-29T09:52:02+09:00
19,v0.0.16,2013-03-29T17:15:54+09:00,2013-03-29T15:13:15+09:00
20,v0.0.17,2013-03-29T17:45:00+09:00,2013-03-29T17:15:54+09:00
21,v0.1.0,2013-03-31T13:03:34+09:00,2013-03-30T16:14:02+09:00
23,v0.1.1,2013-04-02T00:32:55+09:00,2013-03-31T13:03:34+09:00
28,v0.1.3,2013-04-03T13:48:44+09:00,2013-04-02T23:51:14+09:00
32,v0.1.5,2013-04-04T00:07:14+09:00,2013-04-03T18:21:40+09:00
33,v0.1.6,2013-04-04T11:08:00+09:00,2013-04-04T00:07:14+09:00
35,v0.2.0,2013-04-06T13:03:49+09:00,2013-04-05T16:51:01+09:00
41,v0.2.2,2013-04-09T12:08:29+09:00,2013-04-08T10:36:45+09:00
43,v0.2.2,2013-04-09T12:08:29+09:00,2013-04-08T10:36:45+09:00
47,v0.2.3,2013-04-09T15:22:34+09:00,2013-04-09T12:08:29+09:00
46,v0.2.3,2013-04-09T15:22:34+09:00,2013-04-09T12:08:29+09:00
48,v0.2.4,2013-04-09T23:50:12+09:00,2013-04-09T15:22:34+09:00
50,v0.2.5,2013-04-10T22:11:48+09:00,2013-04-09T23:50:12+09:00
49,v0.2.5,2013-04-10T22:11:48+09:00,2013-04-09T23:50:12+09:00
52,v0.2.6,2013-04-11T09:46:08+09:00,2013-04-10T22:11:48+09:00
54,v0.2.7,2013-04-12T15:10:44+09:00,2013-04-11T09:46:08+09:00
56,v0.2.8,2013-04-13T16:53:05+09:00,2013-04-12T15:10:44+09:00
57,v0.2.8,2013-04-13T16:53:05+09:00,2013-04-12T15:10:44+09:00
58,v0.2.9,2013-04-15T09:49:57+09:00,2013-04-13T16:53:05+09:00
59,v0.2.10,2013-04-21T01:07:26+09:00,2013-04-15T09:49:57+09:00
62,v0.2.11,2013-04-23T15:56:32+09:00,2013-04-21T01:07:26+09:00
65,v0.2.14,2013-04-27T18:24:12+09:00,2013-04-23T18:51:04+09:00
69,v0.2.15,2013-04-28T19:35:23+09:00,2013-04-27T18:24:12+09:00
68,v0.2.15,2013-04-28T19:35:23+09:00,2013-04-27T18:24:12+09:00
66,v0.2.15,2013-04-28T19:35:23+09:00,2013-04-27T18:24:12+09:00
70,v0.2.16,2013-04-29T16:21:03+09:00,2013-04-28T19:35:23+09:00
71,v0.2.17,2013-05-01T12:33:15+09:00,2013-04-29T16:21:03+09:00
73,v0.2.17,2013-05-01T12:33:15+09:00,2013-04-29T16:21:03+09:00
72,v0.2.17,2013-05-01T12:33:15+09:00,2013-04-29T16:21:03+09:00
74,v0.2.18,2013-05-01T13:44:15+09:00,2013-05-01T12:33:15+09:00
79,v0.2.19,2013-05-02T15:33:45+09:00,2013-05-01T13:44:15+09:00
82,v0.2.19,2013-05-02T15:33:45+09:00,2013-05-01T13:44:15+09:00
80,v0.2.19,2013-05-02T15:33:45+09:00,2013-05-01T13:44:15+09:00
77,v0.2.19,2013-05-02T15:33:45+09:00,2013-05-01T13:44:15+09:00
84,v0.2.20,2013-05-04T02:35:08+09:00,2013-05-02T15:33:45+09:00
83,v0.2.20,2013-05-04T02:35:08+09:00,2013-05-02T15:33:45+09:00
88,v0.2.23,2013-05-07T10:35:25+09:00,2013-05-05T16:49:02+09:00
89,v0.2.23,2013-05-07T10:35:25+09:00,2013-05-05T16:49:02+09:00
87,v0.2.23,2013-05-07T10:35:25+09:00,2013-05-05T16:49:02+09:00
95,v0.2.25,2013-05-09T13:00:49+09:00,2013-05-07T21:13:30+09:00
93,v0.2.25,2013-05-09T13:00:49+09:00,2013-05-07T21:13:30+09:00
100,v0.2.28,2013-05-13T18:40:58+09:00,2013-05-13T14:09:05+09:00
98,v0.3.0,2013-05-13T21:53:02+09:00,2013-05-13T18:40:58+09:00
101,v0.3.0,2013-05-13T21:53:02+09:00,2013-05-13T18:40:58+09:00
92,v0.3.1,2013-05-14T09:35:28+09:00,2013-05-13T21:53:02+09:00
103,v0.3.2,2013-05-14T21:40:36+09:00,2013-05-14T09:35:28+09:00
105,v0.4.0,2013-05-17T13:57:12+09:00,2013-05-14T21:40:36+09:00
106,v0.4.0,2013-05-17T13:57:12+09:00,2013-05-14T21:40:36+09:00
109,v0.4.1,2013-05-18T14:15:11+09:00,2013-05-17T13:57:12+09:00
108,v0.4.1,2013-05-18T14:15:11+09:00,2013-05-17T13:57:12+09:00
107,v0.4.1,2013-05-18T14:15:11+09:00,2013-05-17T13:57:12+09:00
111,v0.4.2,2013-05-19T11:12:13+09:00,2013-05-18T14:15:11+09:00
110,v0.4.2,2013-05-19T11:12:13+09:00,2013-05-18T14:15:11+09:00
116,v0.4.3,2013-05-19T14:35:49+09:00,2013-05-19T11:12:13+09:00
115,v0.4.3,2013-05-19T14:35:49+09:00,2013-05-19T11:12:13+09:00
114,v0.4.3,2013-05-19T14:35:49+09:00,2013-05-19T11:12:13+09:00
113,v0.4.3,2013-05-19T14:35:49+09:00,2013-05-19T11:12:13+09:00
112,v0.4.3,2013-05-19T14:35:49+09:00,2013-05-19T11:12:13+09:00
118,v0.4.4,2013-05-19T16:19:05+09:00,2013-05-19T14:35:49+09:00
117,v0.4.4,2013-05-19T16:19:05+09:00,2013-05-19T14:35:49+09:00
122,v0.4.5,2013-05-19T18:38:34+09:00,2013-05-19T16:19:05+09:00
121,v0.4.5,2013-05-19T18:38:34+09:00,2013-05-19T16:19:05+09:00
120,v0.4.5,2013-05-19T18:38:34+09:00,2013-05-19T16:19:05+09:00
119,v0.4.5,2013-05-19T18:38:34+09:00,2013-05-19T16:19:05+09:00
123,v0.4.6,2013-05-19T22:22:32+09:00,2013-05-19T18:38:34+09:00
124,v0.4.8,2013-05-20T21:09:11+09:00,2013-05-20T07:29:13+09:00
126,v0.4.9,2013-05-22T22:06:22+09:00,2013-05-20T21:09:11+09:00
